"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 21 14:58:25 IST 2021","Thu Oct 21 14:58:25 IST 2021","6","Migo Suite","APPLE_iPhone8_iOS_12.2.0_fe616","com.crestech.android.tests.pCloudyIosTest","com.crestech.android.tests.pCloudyIosTest","startApp","startApp",""
"skipped","Thu Oct 21 14:58:25 IST 2021","Thu Oct 21 14:58:25 IST 2021","40","Migo Suite","APPLE_iPhone8_iOS_12.2.0_fe616","com.crestech.android.tests.pCloudyIosTest","com.crestech.android.tests.pCloudyIosTest","sampleIosTest","Sample test for iOS","TestCases For Pcloudy Sample Project"
