"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 28 13:01:09 IST 2021","Thu Oct 28 13:01:09 IST 2021","34","Suite","Test","com.crestech.android.tests.pCloudyAndroidTest","com.crestech.android.tests.pCloudyAndroidTest","SampleAndroidTest","Sample test for Android","TestCases For Pcloudy Sample Project"
"broken","Thu Oct 28 13:01:09 IST 2021","Thu Oct 28 13:01:09 IST 2021","4","Suite","Test","com.crestech.android.tests.pCloudyAndroidTest","com.crestech.android.tests.pCloudyAndroidTest","startApp","startApp",""
