"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 22 12:36:31 IST 2021","Fri Oct 22 12:36:31 IST 2021","8","Appium pCloudy Suite","Test to be run","com.crestech.android.tests.pCloudyAndroidTest","com.crestech.android.tests.pCloudyAndroidTest","startApp","startApp",""
"skipped","Fri Oct 22 12:36:32 IST 2021","Fri Oct 22 12:36:32 IST 2021","4","Appium pCloudy Suite","Test to be run","com.crestech.android.tests.pCloudyAndroidTest","com.crestech.android.tests.pCloudyAndroidTest","SampleAndroidTest","Sample test for Android","TestCases For Pcloudy Sample Project"
